recipe_name,aggregateRating,flavors,willMakeAgainPct,reviewsCount,url
Banana Coconut Muffins,3.51,['banana' 'coconut' 'vanilla'],94,214,/recipes/food/views/banana-coconut-muffins-109473
Triple-Cherries Jubilee,3.38,['brandy' 'cherry' 'orange' 'vanilla'],89,9,/recipes/food/views/triple-cherries-jubilee-102146
Hot Chocolate Baked French Toast,3.6,['chocolate' 'hazelnut' 'vanilla'],100,7,/recipes/food/views/hot-chocolate-baked-french-toast
Retro Strawberries-and-Cream Pretzel Tart,3.6,['pretzel' 'strawberry' 'vanilla'],88,8,/recipes/food/views/retro-strawberries-and-cream-pretzel-tart-51194410
Tahini Cookies,2.13,['honey' 'tahini'],44,9,/recipes/food/views/tahini-cookies-51255450
Pear Crisps with Vanilla Brown Butter,3.33,['almond' 'brandy' 'pear' 'vanilla'],72,21,/recipes/food/views/pear-crisps-with-vanilla-brown-butter-240250
Crème Brûlée Tart,3.9,['vanilla'],92,20,/recipes/food/views/creme-brulee-tart-350238
Chocolate Spoonful Cake,2.69,['chocolate' 'cocoa' 'vanilla'],70,32,/recipes/food/views/chocolate-spoonful-cake-14310
Frozen Chocolate Bananas,3.56,['banana' 'chocolate' 'walnut'],94,20,/recipes/food/views/frozen-chocolate-bananas-240064
Grilled Apricots with Almond Cream and Fregolotta,0.0,['almond' 'apricot' 'honey' 'vanilla'],0,0,/recipes/food/views/grilled-apricots-with-almond-cream-and-fregolotta
One-Hour Apricot and Almond Galette,0.0,['almond' 'apricot' 'vanilla'],0,0,/recipes/food/views/one-hour-apricot-and-almond-galette
Nectarines and Peaches with Lavender Syrup,0.0,['honey' 'lavender' 'lemon' 'peach' 'pecan' 'rosemary'],0,0,/recipes/food/views/nectarine-and-peach-salad-with-pecans-blue-cheese-and-lavender-syrup
Classic Yellow Cake with Chocolate Frosting,0.0,['cocoa' 'vanilla'],0,0,/recipes/food/views/classic-yellow-cake-with-chocolate-frosting
Chocolate and Passionfruit Layer Cake,0.0,['chocolate' 'passionfruit'],0,0,/recipes/food/views/chocolate-and-passionfruit-layer-cake
Roasted Banana Vegan Ice Cream,0.0,['banana' 'cashew' 'cocoa' 'coconut' 'walnut'],0,0,/recipes/food/views/roasted-banana-vegan-ice-cream
Malted Milk Piñata Cake,0.0,['vanilla'],0,0,/recipes/food/views/malted-milk-pinata-cake
Boozy Piña Colada Ice Cream,4.0,['cherry' 'pineapple' 'rum'],100,1,/recipes/food/views/boozy-pina-colada-ice-cream
My Favorite Chocolate Cake,0.0,['cocoa' 'coffee' 'lemon'],0,0,/recipes/food/views/my-favorite-chocolate-cake
Passionfruit Curd,0.0,['passionfruit'],0,0,/recipes/food/views/passionfruit-curd
Lemon Curd with Berries,4.0,['lemon'],100,1,/recipes/food/views/lemon-curd-with-berries
Gluten-Free Coconut Bread,1.0,['coconut'],0,1,/recipes/food/views/gluten-free-coconut-bread
Sheet-Pan Brownie Thins,3.3,['chocolate' 'cocoa' 'vanilla'],80,10,/recipes/food/views/sheet-pan-brownie-thins
Rhubarb Turnovers,3.0,['apple' 'lemon' 'nutmeg' 'rhubarb'],100,4,/recipes/food/views/rhubarb-turnovers
Raspberry Crème Fraîche Tart with Lavender Honey,3.95,['honey' 'raspberry'],87,15,/recipes/food/views/raspberry-creme-frache-tart-with-lavender-honey-235494
Pound Cake with Blueberries and Lavender Syrup,3.73,['blueberry' 'lavender' 'lemon' 'vanilla'],97,66,/recipes/food/views/pound-cake-with-blueberries-and-lavender-syrup-109663
Madeleines with Lavender Honey,3.78,['almond' 'honey'],93,16,/recipes/food/views/madeleines-with-lavender-honey-357229
Easy Fruit Tart with Pecan Cookie Crust,4.0,['lemon' 'mango' 'pecan' 'vanilla'],100,1,/recipes/food/views/easy-fruit-tart-with-pecan-cookie-crust
Lemon Buttermilk Ice,0.0,['lemon'],0,0,/recipes/food/views/lemon-buttermilk-ice
Chocolate-Covered Peanuts,0.0,['chocolate' 'peanut'],0,0,/recipes/food/views/chocolate-covered-peanuts-366133
